Field Name | _scalaStruct | Enumerations | Examples | Descriptions | Data Point Name
"Ethnicity of Co{hyphen}Applicant or Co{hyphen}Borrower: 2"| lar.coApplicant.ethnicity.ethnicity2.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino  | |If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Co-Applicant or Co-Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Co{hyphen}Applicant or Co{hyphen}Borrower: 3"| lar.coApplicant.ethnicity.ethnicity3.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino  | |If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Co-Applicant or Co-Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Co{hyphen}Applicant or Co{hyphen}Borrower: 4"| lar.coApplicant.ethnicity.ethnicity4.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino  | |If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Co-Applicant or Co-Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Co{hyphen}Applicant or Co{hyphen}Borrower: 5"| lar.coApplicant.ethnicity.ethnicity5.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino  | |If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Co-Applicant or Co-Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Co{hyphen}Applicant or Co{hyphen}Borrower: Free Form Text Field for Other Hispanic or Latino"  | lar.coApplicant.ethnicity.otherHispanicOrLatino | || Specify in text the Co-Applicant’s or Co-Borrower’s Other Hispanic or Latino ethnicity(ies) provided by the Co-Applicant or Co-Borrower. Otherwise{comma} leave this data field blank. |Ethnicity 
"Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname"   | lar.applicant.ethnicity.ethnicityObserved.code.toString | 1 - Collected on the basis of visual observation or surname, 2 - Not collected on the basis of visual observation or surname , 3 - Not applicable, | ||Ethnicity
"Ethnicity of Co{hyphen}Applicant or Co{hyphen}Borrower Collected on the Basis of Visual Observation or Surname"       | lar.coApplicant.ethnicity.ethnicityObserved.code.toString | 1 - Collected on the basis of visual observation or surname, 2 - Not collected on the basis of visual observation or surname , 3 - Not applicable, 4 - No co{hyphen}applicant, | ||Ethnicity
"Race of Applicant or Borrower: 1" | lar.applicant.race.race1.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White, 6 - Information not provided by applicant in mail{comma} internet{comma} or telephone application, 7 - Not applicable, ||If the Applicant or Borrower did not select any race(s) and only provided race(s) in the Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Applicant or Borrower: Free Form Text Field for Other Asian{comma} and/or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44. | Race
"Race of Applicant or Borrower: 2" | lar.applicant.race.race2.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White||If this data field does not contain an entry{comma} leave it blank.<br/><br/> If the Applicant or Borrower did not select any race(s) and only provided race(s) in the Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Applicant or Borrower: Free Form Text Field for Other Asian{comma} and/or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Applicant or Borrower: 3" | lar.applicant.race.race3.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White||If this data field does not contain an entry{comma} leave it blank.<br/><br/> If the Applicant or Borrower did not select any race(s) and only provided race(s) in the Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Applicant or Borrower: Free Form Text Field for Other Asian{comma} and/or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Applicant or Borrower: 4" | lar.applicant.race.race4.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White||If this data field does not contain an entry{comma} leave it blank.<br/><br/> If the Applicant or Borrower did not select any race(s) and only provided race(s) in the Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Applicant or Borrower: Free Form Text Field for Other Asian{comma} and/or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Applicant or Borrower: 5" | lar.applicant.race.race5.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White||If this data field does not contain an entry{comma} leave it blank.<br/><br/> If the Applicant or Borrower did not select any race(s) and only provided race(s) in the Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Applicant or Borrower: Free Form Text Field for Other Asian{comma} and/or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe"       | lar.applicant.race.otherNativeRace | || Specify in text the Applicant’s or Borrower’s American Indian or Alaska Native Enrolled or Principal Tribe if Race provided by the Applicant or Borrower. Otherwise{comma} leave this data field blank. | Race |  
"Race of Applicant or Borrower: Free Form Text Field for Other Asian"      | lar.applicant.race.otherAsianRace | || Specify in text the Applicant’s or Borrower’s Other Asian race(s) provided by the Applicant or Borrower. Otherwise{comma} leave this data field blank.  | Race |  
"Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander"     | lar.applicant.race.otherPacificIslanderRace | || Specify in text the Applicant’s or Borrower’s Other Pacific Islander race(s) provided by the Applicant or Borrower. Otherwise{comma} leave this data field blank. | Race |  
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: 1"     | lar.coApplicant.race.race1.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White, 6 - Information not provided by applicant in mail{comma} internet{comma} or telephone application, 7 - Not applicable, 8 - No co{hyphen}applicant ||If the Co-Applicant or Co-Borrower did not select any race(s) and only provided race(s) in the Race of CoApplicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Co-Applicant or CoBorrower: Free Form Text Field for Other Asian{comma} and/or Race of CoApplicant or Co-Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: 2"     | lar.coApplicant.race.race2.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White ||If this data field does not contain an entry, leave it blank.<br/><br/> If the Co-Applicant or Co-Borrower did not select any race(s) and only provided race(s) in the Race of CoApplicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Co-Applicant or CoBorrower: Free Form Text Field for Other Asian{comma} and/or Race of CoApplicant or Co-Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: 3"     | lar.coApplicant.race.race3.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White ||If this data field does not contain an entry, leave it blank.<br/><br/> If the Co-Applicant or Co-Borrower did not select any race(s) and only provided race(s) in the Race of CoApplicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Co-Applicant or CoBorrower: Free Form Text Field for Other Asian{comma} and/or Race of CoApplicant or Co-Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: 4"     | lar.coApplicant.race.race4.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White ||If this data field does not contain an entry, leave it blank.<br/><br/> If the Co-Applicant or Co-Borrower did not select any race(s) and only provided race(s) in the Race of CoApplicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Co-Applicant or CoBorrower: Free Form Text Field for Other Asian{comma} and/or Race of CoApplicant or Co-Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: 5"     | lar.coApplicant.race.race5.code.toString | 1 - American Indian or Alaska Native, 2 - Asian, 21 - Asian Indian , 22 - Chinese, 23 - Filipino, 24 - Japanese , 25 - Korean, 26 - Vietnamese, 27 - Other Asian, 3 - Black or African American Native Hawaiian or Other Pacific Islander, 4 - Native Hawaiian or Other Pacific Islander, 41 - Native Hawaiian, 42 - Guamanian or Chamorro, 43 - Samoan, 44 - Other Pacific Islander Race, 5 - White ||If this data field does not contain an entry, leave it blank.<br/><br/> If the Co-Applicant or Co-Borrower did not select any race(s) and only provided race(s) in the Race of CoApplicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe{comma} Race of Co-Applicant or CoBorrower: Free Form Text Field for Other Asian{comma} and/or Race of CoApplicant or Co-Borrower: Free Form Text Field for Other Pacific Islander{comma} either leave this data field blank or enter{comma} as appropriate{comma} Code 1{comma} 27{comma} or 44.| Race
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe" | lar.coApplicant.race.otherNativeRace | || Specify in text the Co{hyphen}Applicant’s or Co{hyphen}Borrower’s American Indian or Alask a Native Enrolled or Principal Tribe if provided by the Co{hyphen}Applicant or Co{hyphen}Borrower. Otherwise{comma} leave this data field blank. | Race |  
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: Free Form Text Field for Other Asian"| lar.coApplicant.race.otherAsianRace | || Specify in text the Co{hyphen}Applicant’s or Co{hyphen}Borrower’s Other Asian race(s) provided by the Co{hyphen}Applicant or Co{hyphen}Borrower. Otherwise{comma} leave this data field blank. | Race  
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower: Free Form Text Field for Other Pacific Islander"         | lar.coApplicant.race.otherPacificIslanderRace ||| Specify in text the Co{hyphen}Applicant’s or Co{hyphen}Borrower’s Other Pacific Islander race(s) provided by the Co{hyphen}Applicant or Co{hyphen}Borrower. Otherwise{comma} leave this data field blank. | Race  
"Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname"        | lar.applicant.race.raceObserved.code.toString | 1 - Collected on the basis of visual observation or surname, 2 - Not collected on the basis of visual observation or surname , 3 - Not applicable, ||| Race
"Race of Co{hyphen}Applicant or Co{hyphen}Borrower Collected on the Basis of Visual Observation or Surname"  | lar.coApplicant.race.raceObserved.code.toString | 1 - Collected on the basis of visual observation or surname, 2 - Not collected on the basis of visual observation or surname , 3 - Not applicable, 4 - No co{hyphen}applicant, ||| Ethnicity
"Sex of Applicant or Borrower" | lar.applicant.sex.sexEnum.code.toString | 1 - Male, 2 - Female, 3 - Information not provided by applicant in mail{comma} internet{comma} or Sex 4 telephone application, 4 - Not applicable, 6 - Applicant selected both male and female, ||| Sex
"Sex of Co{hyphen}Applicant or Co{hyphen}Borrower"         | lar.coApplicant.sex.sexEnum.code.toString | 1 - Male, 2 - Female, 3 - Information not provided by applicant in mail{comma} internet{comma} or Sex 4 telephone application, 4 - Not applicable, 6 - Applicant selected both male and female, ||| Sex
"Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname"         | lar.applicant.sex.sexObservedEnum.code.toString | 1 - Collected on the basis of visual observation or surname, 2 - Not collected on the basis of visual observation or surname, 3 - Not applicable ||| Sex
"Sex of Co{hyphen}Applicant or Co{hyphen}Borrower Collected on the Basis of Visual Observation or Surname"   | lar.coApplicant.sex.sexObservedEnum.code.toString |1 - Collected on the basis of visual observation or surname, 2 - Not collected on the basis of visual observation or surname, 3 - Not applicable, 4 - No co{hyphen}applicant, ||| Sex
"Age of Applicant or Borrower" | lar.applicant.age.toString |8888 - NA | 24|| Sex
"Age of Co{hyphen}Applicant or Co{hyphen}Borrower"         | lar.coApplicant.age.toString | 8888 - NA, 9999 - No co{hyphen}applicant |24|| Age
"Income" | lar.income | NA | 36, -36 | |
"Type of Purchaser"| lar.purchaserType.code.toString |0 - Not applicable, 1 - Fannie Mae, 2 - Ginnie Mae, 3 - Freddie Mac, 4 - Farmer Mac, 5 - Private securitizer, 6 - Commercial bank{comma} savings bank{comma} or savings association, 71 - Credit union{comma} mortgage company{comma} or finance company, 72 - Life insurance company, 8 - Affiliate institution, 9 - Other type of purchaser, | ||
"Rate Spread"      | lar.loan.rateSpread | NA, Exempt | 0.428,{hyphen}0.428 | |
"HOEPA Status"     | lar.hoepaStatus.code.toString | 1 - High-cost mortgage, 2 - Not a high-cost mortgage , 3 - Not applicable, | ||
"Lien Status"      | lar.lienStatus.code.toString | 1 -  Secured by a first lien, 2 - Secured by a subordinate lien | ||
"Credit Score of Applicant or Borrower"      | lar.applicant.creditScore.toString | 7777 - Credit score is not a number, 8888 - Not applicable, 1111 - Exempt, {empty} - Other |650 || Credit Score
"Credit Score of Co{hyphen}Applicant or Co{hyphen}Borrower"| lar.coApplicant.creditScore.toString | 7777 - Credit score is not a number, 8888 - Not applicable, 9999 - No co{hyphen}applicant, 1111 - Exempt, {empty} - Other | 650 || Credit Score
"Applicant or Borrower, Name and Version of Credit Scoring Model"| lar.applicant.creditScoreType.code.toString | 1 - Equifax Beacon 5.0, 2 - Experian Fair Isaac Risk Model v2 3 , 3 - TransUnion FICO Risk Score Classic 04, 4 - TransUnion FICO Risk Score Classic 98, 5 - VantageScore 2.0, 6 - VantageScore 3.0, 7 - More than one credit scoring model, 8 - Other credit scoring model, 9 - Not applicable , 1111 - Exempt, ||| Credit Score
"Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8"     | lar.applicant.otherCreditScoreModel | ||Specify in text the applicant’s or borrower’s Other credit scoring model if 8 is entered. Otherwise{comma} leave this data field blank. | Credit Score |  
"Co{hyphen}Applicant or Co{hyphen}Borrower, Name and Version of Credit Scoring Model"    | lar.coApplicant.creditScoreType.code.toString | 1 - Equifax Beacon 5.0, 2 - Experian Fair Isaac Risk Model v2 3 , 3 - TransUnion FICO Risk Score Classic 04, 4 - TransUnion FICO Risk Score Classic 98, 5 - VantageScore 2.0, 6 - VantageScore 3.0, 7 - More than one credit scoring model, 8 - Other credit scoring model, 9 - Not applicable , 10 - No co{hyphen}applicant, 1111 - Exempt, | Credit Score
"Co{hyphen}Applicant or Co{hyphen}Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8"         | lar.coApplicant.otherCreditScoreModel | ||Specify in text the co{hyphen}applicant’s or coborrower’s Other credit scoring model if 8 is entered. Otherwise{comma} leave this data field blank. | Credit Score   
"Reason for Denial: 1"         | lar.denial.denialReason1.code.toString | 1 - Debt{hyphen}to{hyphen}income ratio, 2 - Employment history, 3 - Credit history, 4 - Collateral, 5 - Insufficient cash (downpayment{comma} closing costs), 6 - Unverifiable information , 7 - Credit application incomplete , 8 - Mortgage insurance denied, 9 - Other, 10 - Not applicable, 1111 - Exempt, ||| Reason for Denial
"Reason for Denial: 2"         | lar.denial.denialReason2.code.toString | 1 - Debt{hyphen}to{hyphen}income ratio, 2 - Employment history, 3 - Credit history, 4 - Collateral, 5 - Insufficient cash (downpayment{comma} closing costs), 6 - Unverifiable information , 7 - Credit application incomplete , 8 - Mortgage insurance denied, 9 - Other ||| Reason for Denial
"Reason for Denial: 3"         | lar.denial.denialReason3.code.toString | 1 - Debt{hyphen}to{hyphen}income ratio, 2 - Employment history, 3 - Credit history, 4 - Collateral, 5 - Insufficient cash (downpayment{comma} closing costs), 6 - Unverifiable information , 7 - Credit application incomplete , 8 - Mortgage insurance denied, 9 - Other ||| Reason for Denial
"Reason for Denial: 4"         | lar.denial.denialReason4.code.toString | 1 - Debt{hyphen}to{hyphen}income ratio, 2 - Employment history, 3 - Credit history, 4 - Collateral, 5 - Insufficient cash (downpayment{comma} closing costs), 6 - Unverifiable information , 7 - Credit application incomplete , 8 - Mortgage insurance denied, 9 - Other ||| Reason for Denial
"Reason for Denial: Conditional Free Form Text Field for Code 9" | lar.denial.otherDenialReason ||| Specify in text the Other Denial Reason(s) if Code 9 is entered. Otherwise{comma} leave this data field blank. | Reason for Denial 
"Total Loan Costs" | lar.loanDisclosure.totalLoanCosts |  NA, Exempt |2399.04|| Total Loan Costs or Total Points and Fees
"Total Points and Fees"        | lar.loanDisclosure.totalPointsAndFees |  NA, Exempt |2399.04|| Total Loan Costs or Total Points and Fees
"Origination Charges"| lar.loanDisclosure.originationCharges | NA, Exempt |2399.04|| Origination Charges
"Discount Points"  | lar.loanDisclosure.discountPoints | NA, Exempt |2399.04|| Discount Points
"Lender Credits"   | lar.loanDisclosure.lenderCredits |  NA, Exempt |1500.24| |
"Interest Rate"    | lar.loan.interestRate |  NA, Exempt |4.125| 
"Prepayment Penalty Term"      | lar.loan.prepaymentPenaltyTerm |  NA, Exempt |24||
